text	n	freq
לפתוח את	2	221
צריך לדעת	2	221
קצת זמן	2	221
איפה זה	2	220
את זה על	3	220
זה לא יהיה	3	220
חצי שעה	2	220
יותר מזה	2	220
להיות כאן	2	220
למה אתה לא	3	220
מה שאני אומר	3	220
עזור לי	2	220
שאתה יודע	2	220
את הבן	2	219
כדאי לך	2	219
את רואה	2	218
להגיד את	2	218
לעשות זה	2	218
לראות אותי	2	218
רואים את	2	218
שאי פעם	2	218
תביא את	2	218
אז מה אתה	3	217
אל תעשה את	3	217
את זה שוב	3	217
זה בלתי	2	217
זה צריך	2	217
תראה אני	2	217
הבאתי לך	2	216
יש לנו את	3	216
עשה זאת	2	216
או משהו כזה	3	215
אני אביא	2	215
בעוד דקות	2	215
זה מה שאתה	3	215
זה עובד	2	215
חושבת שהוא	2	215
נדבר על	2	215
צריכים להיות	2	215
אני בא	2	214
אני טועה	2	214
ואחר כך	2	214
זה חייב	2	214
חושב שאנחנו	2	214
מעריך את	2	214
שאתה אוהב	2	214
אז לא	2	213
את מכירה	2	213
בסופו של	2	213
זאת אני	2	213
לי אותו	2	213
מהר יותר	2	213
שלא יהיה	2	213
שם בחוץ	2	213
תחזיק מעמד	2	213
אז אולי	2	212
איך ידעת	2	212
אימא שלי	2	212
אני מאוד	2	212
את האיש	2	212
באמת לא	2	212
בובי בושה	2	212
לא נמצא	2	212
רק עוד	2	212
תעשי את	2	212
אני לוקח	2	211
אני מודה	2	211
אני רציני	2	211
חייב לך	2	211
כל מה שאתה	3	211
לעצור את	2	211
מזל טוב	2	211
אחד אחר	2	210
הוא מדבר	2	210
הרבה אנשים	2	210
זה נחמד	2	210
כן מה	2	210
לא הולכת	2	210
עד שהוא	2	210
קורה כאן	2	210
אחד מאיתנו	2	209
אל תיגע	2	209
אני לא מבינה	3	209
אני עושה את	3	209
אתה היית	2	209
הוא ממש	2	209
הכל יהיה	2	209
הנה לך	2	209
זה די	2	209
את אבא	2	208
הבן זונה	2	208
הוא כל	2	208
יכול היה	2	208
לי ברירה	2	208
מספיק זמן	2	208
רואה מה קורה	3	208
שאף אחד לא	3	208
שמעת על	2	208
אותי אני	2	207
אני חושב שהוא	3	207
חייב לעשות	2	207
חמש דקות	2	207
יכול ללכת	2	207
לוס אנג	2	207
לוס אנג לס	3	207
לך לא	2	207
מה אני עושה	3	207
אבל אולי	2	206
אני מחכה	2	206
היי חבר	2	206
הייתי שם	2	206
אני חושב שאתה	3	205
אתם חושבים	2	205
בסופו של דבר	3	205
זה תלוי	2	205
חכי רגע	2	205
להיות שם	2	205
להכיר אותך	2	205
לי פה	2	205
מי היה	2	205
רק לא	2	205
שהוא רוצה	2	205
את המפתח	2	204
אתה טועה	2	204
אתה תמיד	2	204
גדול יותר	2	204
יום טוב	2	204
כמה פעמים	2	204
מה העניין	2	204
מכיר אותו	2	204
אבל אל	2	203
המשפחה שלי	2	203
מה איתך	2	203
קוראים לך	2	203
אז יש	2	202
בטוח שזה	2	202
זאת הייתה	2	202
זה הרבה	2	202
זה עם	2	202
כי לא	2	202
לי כל	2	202
לי לדבר	2	202
לי שזה	2	202
עד הסוף	2	202
עוד מעט	2	202
איפה אני	2	201
אני שונאת	2	201
חתיכת חרא	2	201
להודות לך	2	201
מה את רוצה	3	201
מה שזה	2	201
מה שלא	2	201
עוד יותר	2	201
עורך דין	2	201
איך הולך	2	200
אני אעשה את	3	200
אני יכול לעשות	3	200
אני מבטיח לך	3	200
את באמת	2	200
את מר	2	200
הו כן	2	200
הוא גם	2	200
כך הרבה זמן	3	200
כל השאר	2	200
עכשיו את	2	200
